"Name","Salary"
"Joel Kiviranta ",637106
"Mason Lohrei ",624298
"Martin Jones ",623016
"Kaapo Kahkonen ",622503
"Joseph Anderson ",615636
NA,NA
"Sam Gagner ",608700
"Jonny Brodzinski ",596526
"Casey Mittelstadt ",585359
"Justin Bailey ",580294
"Hendrix Lapierre ",577949
"David Rittich ",577206
"Jacob Moverare ",558880
"Pontus Holmberg ",535656
"Parker Wotherspoon ",499134
"Gustav Lindstrom ",492426
"Emil Martinsen-Lilleberg ",484568
"Valtteri Puustinen ",462612
"Jesper Boqvist ",442322
"Uvis Balinskis ",439930
"Nathan Walker ",438264
"Jaycob Megna ",437259
"Klim Kostin ",429311
"Sam Carrick ",425000
"Trey Fix-Wolansky ",425000
"Arber Xhekaj ",408988
NA,NA
"Dryden Hunt ",400000
"Jacob Lucchini ",389568
"Yakov Trenin ",373842
"Spencer Martin ",371258
"Ivan Miroshnichenko ",368036
"Colin Miller ",364941
"Thomas Bordeleau ",362758
"Nick DeSimone ",350000
"Corey Perry ",348988
"Zach Parise ",345520
"Spencer Stastney ",345322
"Michael Bunting ",329826
"Kyle MacLean ",326536
"Declan Chisholm ",324640
"Justus Annunen ",324640
"Olen Zellweger ",323806
"Lucas Johansen ",320582
"Mitchell Chaffee ",316524
"Michael Sgarbossa ",304350
"Brayden Pachal ",300214
NA,NA
"Ryker Evans ",297373
"Vasily Podkolzin ",288655
"Logan Stankoven ",279168
"Mark Jankowski ",275944
"Angus Crookshank ",266668
"Emil Bemstrom ",263872
"Marat Khusnutdinov ",262501
"Joel Edmundson ",261114
"Brendan Gaunce ",259712
"Mason Shaw ",255654
"Kurtis Macdermid ",251328
"Patrick Brown ",251280
"Matt Tomkins ",247538
"Brandon Duhaime ",241878
"Troy Stecher ",241878
"Justin Brazeau ",235364
"Colin White ",227248
"Alexander Nylander ",223190
"Patrick Maroon ",214676
"Kale Clague ",211016
NA,NA
"Carson Meyer ",210000
"Jaret Anderson-Dolan ",206880
"Joel Hanley ",195032
"Vincent Iorio ",184636
"Connor Dewar ",182450
"Denis Gurianov ",182450
"Nikita Okhotyuk ",178719
"Chad Ruhwedel ",171708
"Daniil Miromanov ",170436
"Ben Meyers ",166378
"Boris Katchouk ",166378
"Devin Cooley ",166378
"Tobias Bjornfot ",166378
"William Lagesson ",166378
"Jonas Rondbjerg ",154204
"Scott Morrow ",151692
"Jack Studnicka ",150146
"Bradly Nadeau ",144236
"Liam Ohgren ",130808
"Sam Colangelo ",123013
NA,NA
"Jackson Blake ",120906
"Lane Hutson ",119870
"Nolan Foote ",108975
"Gavin Brindley ",108428
"Ruslan Iskhakov ",100616
"Cutter Gauthier ",99476
"Cale Fleury ",44638
"Dylan McIlrath ",44638
"Jayson Megna ",8116
